"team","season","qb","w","wins_per_10m_qb"
Seattle Seahawks,2013,1557085,13,83.49
Dallas Cowboys,2018,1816903,10,55.04
Seattle Seahawks,2014,2227438,12,53.87
Dallas Cowboys,2017,1782314,9,50.5
San Francisco 49ers,2017,1280189,6,46.87
San Francisco 49ers,2013,2897535,12,41.41
Denver Broncos,2016,2261161,9,39.8
Cincinnati Bengals,2013,2881583,11,38.17
Oakland Raiders,2015,1918064,7,36.5
Oakland Raiders,2013,1146517,4,34.89
Philadelphia Eagles,2021,2622691,9,34.32
Tampa Bay Buccaneers,2013,1184375,4,33.77
Baltimore Ravens,2019,4187820,14,33.43
Philadelphia Eagles,2022,5008230,14,27.95
Dallas Cowboys,2019,2903516,8,27.55
