"team","season","qb_p","w_pct"
Indianapolis Colts,2020,0.238,0.688
San Francisco 49ers,2018,0.216,0.25
Miami Dolphins,2017,0.198,0.375
Tennessee Titans,2022,0.191,0.412
Kansas City Chiefs,2022,0.186,0.824
Seattle Seahawks,2021,0.184,0.412
San Francisco 49ers,2021,0.183,0.588
Minnesota Vikings,2021,0.182,0.471
Dallas Cowboys,2020,0.18,0.375
New York Giants,2013,0.178,0.438
Arizona Cardinals,2017,0.177,0.5
New Orleans Saints,2015,0.177,0.438
Detroit Lions,2013,0.174,0.438
Detroit Lions,2019,0.17,0.219
Green Bay Packers,2021,0.168,0.765
